compil-option,type,result
,float,-inf
,double,-4396803930182068517325088235103664583272782888960.00000000000000000
,long double,2064528009399464421053084839428833945241780224.00000000000000000
-O2 -ffloat-store -fno-fast-math,float,-inf
-O2 -ffloat-store -fno-fast-math,double,-4396803930182068517325088235103664583272782888960.00000000000000000
-O2 -ffloat-store -fno-fast-math,long double,2064528009399464421053084839428833945241780224.00000000000000000
